"Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"ARI","KC","@LV","LAR","@CAR","PHI","@SEA","NO","@MIN","SEA","@LAR","SF","LAC","BYE","NE","@DEN","TB","@ATL","@SF"
"ATL","NO","@LAR","@SEA","CLE","@TB","SF","@CIN","CAR","LAC","@CAR","CHI","@WAS","PIT","BYE","@NO","@BAL","ARI","TB"
"BAL","@NYJ","MIA","@NE","BUF","CIN","@NYG","CLE","@TB","@NO","BYE","CAR","@JAX","DEN","@PIT","@CLE","ATL","PIT","@CIN"
"BUF","@LAR","TEN","@MIA","@BAL","PIT","@KC","BYE","GB","@NYJ","MIN","CLE","@DET","@NE","NYJ","MIA","@CHI","@CIN","NE"
"CAR","CLE","@NYG","NO","ARI","SF","@LAR","TB","@ATL","@CIN","ATL","@BAL","DEN","BYE","@SEA","PIT","DET","@TB","@NO"
"CHI","SF","@GB","HOU","@NYG","@MIN","WAS","@NE","@DAL","MIA","DET","@ATL","@NYJ","GB","BYE","PHI","BUF","@DET","MIN"
"CIN","PIT","@DAL","@NYJ","MIA","@BAL","@NO","ATL","@CLE","CAR","BYE","@PIT","@TEN","KC","CLE","@TB","@NE","BUF","BAL"
"CLE","@CAR","NYJ","PIT","@ATL","LAC","NE","@BAL","CIN","BYE","@MIA","@BUF","TB","@HOU","@CIN","BAL","NO","@WAS","@PIT"
"DAL","TB","CIN","@NYG","WAS","@LAR","@PHI","DET","CHI","BYE","@GB","@MIN","NYG","IND","HOU","@JAX","PHI","@TEN","@WAS"
"DEN","@SEA","HOU","SF","@LV","IND","@LAC","NYJ","@JAX","BYE","@TEN","LV","@CAR","@BAL","KC","ARI","@LAR","@KC","LAC"
"DET","PHI","WAS","@MIN","SEA","@NE","BYE","@DAL","MIA","GB","@CHI","@NYG","BUF","JAX","MIN","@NYJ","@CAR","CHI","@GB"
"GB","@MIN","CHI","@TB","NE","NYG","NYJ","@WAS","@BUF","@DET","DAL","TEN","@PHI","@CHI","BYE","LAR","@MIA","MIN","DET"
"HOU","IND","@DEN","@CHI","LAC","@JAX","BYE","@LV","TEN","PHI","@NYG","WAS","@MIA","CLE","@DAL","KC","@TEN","JAX","@IND"
"IND","@HOU","@JAX","KC","TEN","@DEN","JAX","@TEN","WAS","@NE","@LV","PHI","PIT","@DAL","BYE","@MIN","LAC","@NYG","HOU"
"JAX","@WAS","IND","@LAC","@PHI","HOU","@IND","NYG","DEN","LV","@KC","BYE","BAL","@DET","@TEN","DAL","@NYJ","@HOU","TEN"
"KC","@ARI","LAC","@IND","@TB","LV","BUF","@SF","BYE","TEN","JAX","@LAC","LAR","@CIN","@DEN","@HOU","SEA","DEN","@LV"
"LAC","LV","@KC","JAX","@HOU","@CLE","DEN","SEA","BYE","@ATL","@SF","KC","@ARI","@LV","MIA","TEN","@IND","LAR","@DEN"
"LAR","BUF","ATL","@ARI","@SF","DAL","CAR","BYE","SF","@TB","ARI","@NO","@KC","SEA","LV","@GB","DEN","@LAC","@SEA"
"LV","@LAC","ARI","@TEN","DEN","@KC","BYE","HOU","@NO","@JAX","IND","@DEN","@SEA","LAC","@LAR","NE","@PIT","SF","KC"
"MIA","NE","@BAL","BUF","@CIN","@NYJ","MIN","PIT","@DET","@CHI","CLE","BYE","HOU","@SF","@LAC","@BUF","GB","@NE","NYJ"
"MIN","GB","@PHI","DET","@NO","CHI","@MIA","BYE","ARI","@WAS","@BUF","DAL","NE","NYJ","@DET","IND","NYG","@GB","@CHI"
"NE","@MIA","@PIT","BAL","@GB","DET","@CLE","CHI","@NYJ","IND","BYE","NYJ","@MIN","BUF","@ARI","@LV","CIN","MIA","@BUF"
"NO","@ATL","TB","@CAR","MIN","SEA","CIN","@ARI","LV","BAL","@PIT","LAR","@SF","@TB","BYE","ATL","@CLE","@PHI","CAR"
"NYG","@TEN","CAR","DAL","CHI","@GB","BAL","@JAX","@SEA","BYE","HOU","DET","@DAL","WAS","PHI","@WAS","@MIN","IND","@PHI"
"NYJ","BAL","@CLE","CIN","@PIT","MIA","@GB","@DEN","NE","BUF","BYE","@NE","CHI","@MIN","@BUF","DET","JAX","@SEA","@MIA"
"PHI","@DET","MIN","@WAS","JAX","@ARI","DAL","BYE","PIT","@HOU","WAS","@IND","GB","TEN","@NYG","@CHI","@DAL","NO","NYG"
"PIT","@CIN","NE","@CLE","NYJ","@BUF","TB","@MIA","@PHI","BYE","NO","CIN","@IND","@ATL","BAL","@CAR","LV","@BAL","CLE"
"SEA","DEN","@SF","ATL","@DET","@NO","ARI","@LAC","NYG","@ARI","@TB","BYE","LV","@LAR","CAR","SF","@KC","NYJ","LAR"
"SF","@CHI","SEA","@DEN","LAR","@CAR","@ATL","KC","@LAR","BYE","LAC","@ARI","NO","MIA","TB","@SEA","WAS","@LV","ARI"
"TB","@DAL","@NO","GB","KC","ATL","@PIT","@CAR","BAL","LAR","SEA","BYE","@CLE","NO","@SF","CIN","@ARI","CAR","@ATL"
"TEN","NYG","@BUF","LV","@IND","@WAS","BYE","IND","@HOU","@KC","DEN","@GB","CIN","@PHI","JAX","@LAC","HOU","DAL","@JAX"
"WAS","JAX","@DET","PHI","@DAL","TEN","@CHI","GB","@IND","MIN","@PHI","@HOU","ATL","@NYG","BYE","NYG","@SF","CLE","DAL"
